Question,Answer
"
Какими льготами по пользованию парковок пользуются инвалиды? Какими законодательными актами закреплены эти льготы? 
","
Льготы для всех групп инвалидов закреплены следующими законодательными актами:
Федеральный закон от 24.11.1995 г. «О социальной защите инвалидов в Российской Федерации» № 181-ФЗ;
Закон г. Москвы N 3 от 17 января 2001 г. «Об обеспечении беспрепятственного доступа инвалидов к объектам социальной, транспортной и инженерной инфраструктур города Москвы».
Законодательство регламентирует возможность для инвалидов и лиц, перевозящих инвалидов, круглосуточно бесплатно парковаться на специальных местах, обозначенных соответствующим дорожным знаком 8.17 «Инвалиды» и разметкой 1.24.3. На остальных местах в платной парковочной зоне парковка осуществляется на общих основаниях (за плату) 
"
"
Какие условия использования мест для инвалидов? 
","
Автомобиль должен быть оборудован опознавательным знаком «Инвалид» (спереди или сзади) и внесен в Федеральный реестр инвалидов.
Скачать знак «Инвалид» для автомобиля
"
"
Как внести автомобиль в Федеральный реестр инвалидов? 
","
Внести автомобиль в Федеральный реестр инвалидов можно удаленно:

через федеральный портал государственных услуг gosuslugi.ru
через портал Федерального реестра инвалидов sfri.ru

"
"
Сколько автомобилей может быть внесено в Федеральный реестр инвалидов? 
","
В реестр инвалидом вносится только 1 автомобиль. Автомобиль в реестре можно менять.
"
"
Полагаются ли льготы ветеранам ВОВ и лицам, к ним приравненным? 
","
Право на получение резидентного парковочного разрешения с отметкой о льготе имеют следующие категории граждан:

участники ВОВ
участники обороны Москвы
несовершеннолетние узники концлагерей, гетто и других мест принудительного заключения 
Герои Советского Союза
Герои Российской Федерации
Полные кавалеры ордена Славы
Герои Социалистического Труда
Герои Труда Российской Федерации
Полные кавалеры ордена трудовой Славы

Если резидент относится к вышеуказанным категориям, то он имеет право оформить льготное парковочное разрешение резидента — не более 1-го разрешения на одну квартиру. Такое резидентное парковочное разрешение дает право бесплатной круглосуточной парковки в пределах всей зоны платных парковок. 
ВАЖНО! При оформлении резидентного разрешения гражданином льготной категории необходимо поставить «галочку» в соответствующей графе о наличии льготы.
Если резидент принадлежит к льготной категории граждан и владеет долей в собственности, то согласие других собственников для него не требуется. Другие владельцы жилого помещения по-прежнему имеют право на получение резидентного разрешения — не более 2-х на одну квартиру.
"
"
Что дает парковочное разрешение многодетной семьи? 
","
Разрешение многодетной семьи дает право на бесплатную парковку в пределах всей зоны платных городских парковок ежедневно, круглосуточно на весь период действия статуса многодетной семьи.
"
"
Кто может получить парковочное разрешение многодетной семьи? 
","
Один из родителей (усыновителей) в многодетной семье города Москвы, имеющий место жительства в городе Москве, может оформить парковочное разрешение на зарегистрированное на него в установленном порядке транспортное средство. Оформить можно только одно разрешение на многодетную семью.
"
"
Как оформить парковочное разрешение многодетной семьи? 
","
Разрешение многодетной семьи оформляется на автомобиль без задолженности* по оплате штрафов в области дорожного движения (гл.12 КоАП ФРФ) и оплаты парковки (ст.8.14 КоАП г. Москвы), зарегистрированный в установленном порядке на одного из родителей (усыновителей).
* Задолженность — неоплата штрафа в течение 60-ти дней после вступления постановления по делу об административном нарушении в законную силу (ст. 32.2 КоАП РФ).
Получить парковочное разрешение многодетной семьи города Москвы можно на Портале mos.ru.
Срок оформления — 3 рабочих дня.
Срок аннулирования — 1 рабочий день.
Необходимые документы для получения государственной услуги:

документы, подтверждающие решение суда об отмене постановлений, выписанных по штрафам за нарушение правил дорожного движения и оплаты парковки в отношении собственника автомобиля, на который оформляется парковочное разрешение (если такие имелись);
если документы будет подавать представитель заявителя — документ, удостоверяющий личность представителя заявителя, и доверенность (нотариально удостоверенная).

"
"
Как продлить парковочное разрешение многодетной семьи? 
","
Родитель (усыновитель) многодетной семьи может подать заявление на оформление нового парковочного разрешения заранее — не ранее двух месяцев до окончания действия предыдущего. При этом новое разрешение начнет действие после окончания действия предыдущего. Заявление о продлении разрешения можно подать через раздел «Услуги» на mos.ru.
Москвичи могут продлевать парковочные разрешения многодетной семьи в одно нажатие — за 2 месяца до конца срока действия разрешения в личный кабинет на mos.ru и на e-mail пользователя придёт уведомление с напоминанием продлить его при наличии у пользователя стандартной или полной учетной записи на mos.ru с актуальными данными. При наличии упрощённой учётной записи необходимо будет заполнить заявление самостоятельно.
Важно! Обращаем ваше внимание! Действие парковочного разрешения может быть приостановлено при наличии у лица, на которое в установленном порядке зарегистрировано указанное в запросе транспортное средство, трех и более задолженностей по оплате штрафов в области дорожного движения и оплаты парковки. В случае получения уведомления о возможной приостановке, родитель (усыновитель) многодетной семьи должен письменно уведомить ГКУ «АМПП» о ликвидации всех задолженностей в течение 10 дней. В противном случае, действие парковочного разрешения будет приостановлено до момента ликвидации всех задолженностей и истечения трех месяцев после соответствующего письменного уведомления ГКУ «АМПП».
"
"
Как нужно действовать, если машину эвакуировали? 
","
Если за время Вашего отсутствия транспортное средство было эвакуировано, то необходимо действовать по следующему алгоритму:
1. Узнать адрес спецстоянки, на которую было перемещено транспортное средство.
Номер круглосуточной горячей линии Московского парковочного пространства: +7 495 539 5454 или 3210 с мобильного.
Адрес спецстоянки можно также узнать посредством ввода запроса государственного номера автомобиля в соответствующую форму на данном портале и на сайте parking.mos.ru
2. Получить решение должностного лица о возврате задержанного транспортного средства.
Получить в подразделении ГИБДД/МАДИ, которое осуществило задержание, решение должностного лица о возврате задержанного транспортного средства.
Адрес дежурной части можно узнать по телефону контакт-центра «Московский транспорт» +7 (495) 539-54-54 или по «короткому» номеру 3210 для операторов мобильной связи.
Для получения решения на возврат транспортного средства необходимо предъявить документы на управление транспортным средством.
3. Предъявить на спецстоянке полный пакет документов на автомобиль и решение должностного лица о возврате задержанного транспортного средства. Получить транспортное средство со спецстоянки можно без предоплаты. Автовладелец может оплатить перемещение и хранение транспортного средства в течение 60 дней по квитанции, которую получит на спецстоянке. 
По всем вопросам, связанным с порядком получения автомобиля со специализированной стоянки, можно бесплатно проконсультироваться по телефону контакт-центра «Московский транспорт»: +7 495 539 5454 или по «короткому» номеру 3210 для операторов мобильной связи.
"
"
Какие документы нужны для получения автомобиля со спецстоянки? 
","
Для получения автомобиля Вы должны обратиться в подразделение ГИБДД или МАДИ (инициировавшее задержание транспортного средства).
При себе необходимо иметь следующие документы:

водительское удостоверение;
свидетельство о регистрации транспортного средства;
страховой полис ОСАГО (уточняется в дежурной части).

После получения в подразделении ГИБДД/МАДИ решения должностного лица о возврате задержанного транспортного средства Вам необходимо обратиться на специализированную стоянку по указанному адресу. На спецстоянке необходимо предъявить:
1. Собственнику автомобиля:

паспорт или другой документ, удостоверяющий личность;
документ, подтверждающий право собственности или владения автомобилем;
разрешение МАДИ или ГИБДД на выдачу транспортного средства.

2. Представителю собственника, имеющему право управлять автомобилем:

документы, подтверждающие право собственности или владения задержанным автомобилем либо документы, необходимые для управления (водительское удостоверение, СТС, ОСАГО);
доверенность или заверенный путевой лист (для юридических лиц);
разрешение МАДИ или ГИБДД на выдачу транспортного средства.

3. Представителю собственника, не имеющему права управлять автомобилем:

паспорт или другой документ, удостоверяющий личность;
документ, подтверждающий право собственности или владения автомобилем;
нотариально заверенная доверенность на управление автомобилем;
разрешение МАДИ или ГИБДД на выдачу транспортного средства.

"
"
Обязаны ли снять машину с эвакуатора, если владелец успел прибыть на место нарушения? 
","
По закону, в том случае, если производится погрузка автомобиля и явился собственник, то оператор эвакуатора обязан сгрузить автомобиль обратно. При этом собственнику будет выдано постановление о нарушении, которое он обязан оплатить в установленный срок.
Если эвакуатор уже начал движение, погруженный автомобиль можно будет получить только на спецстоянке.
"
"
Как нужно действовать, если документы остались в эвакуированной машине? 
","
Если Ваши документы остались в машине, то необходимо проехать на спецстоянку, оформить на месте акты вскрытия и опечатывания транспортного средства, получить документы и уже затем отправиться в дежурную часть подразделения ГИБДД/МАДИ, сотрудниками которого было принято решение о задержании транспортного средства.
"
"
Как работают спецстоянки? 
","
Спецстоянки работают в круглосуточном режиме.
Узнать адрес спецстоянки, на которую было перемещено транспортное средство, можно, обратившись в Дежурную часть (02; 112 – для мобильных телефонов) или на номер круглосуточной горячей линии Московского парковочного пространства: +7 495 539 5454.
Адрес спецстоянки можно также узнать посредством ввода запроса государственного номера автомобиля в соответствующую форму на сайте parking.mos.ru 
"
"
Что такое парковочный абонемент и как его получить? 
","
Парковочные абонементы для всех автовладельцев созданы для упрощения процесса оплаты. Предназначены, в первую очередь, для частых пользователей услуг платных парковок.
Внимание! Парковочные абонементы в зоне повышенного тарифа не действительны!
Виды парковочных абонементов:
На парковку от внешней стороны Садового кольца до границ Москвы:

на месяц – 15 тыс. ₽
на год – 150 тыс. ₽

На парковку от внешней стороны Бульварного кольца до границ Москвы:

на месяц – 30 тыс. ₽
на год – 300 тыс. ₽

На всю территорию платной парковки, кроме зоны Москва-Сити (включая Садовое, Бульварное и Третье транспортное кольцо):

на месяц – 37 тыс. ₽
на год – 370 тыс. ₽

"
"
Какие права имеют владельцы резидентных разрешений? 
","
Резидентное разрешение дает право на бесплатную парковку в пределах административного района Москвы, на территории которого расположено жилое помещение резидента, ежедневно с 20:00 до 08:00  в течение одного, двух или трех лет. 
Резиденты могут оформить не более двух парковочных разрешений резидента на одно жилое помещение.
"
"
Как часто можно менять номер автомобиля в реестре парковочных разрешений? 
","
Менять номер автомобиля в реестре парковочных разрешений можно раз в 1 месяц.
"
"
Резервируется ли место во дворе для резидентов? 
","
Нет, такой возможности для резидентов не предоставляется. 
Однако если Вы и раньше парковались во дворе, то с введением оплаты для Вас принципиально ничего не меняется, т.к. парковка во дворах остается бесплатной. Жителям зоны платных парковок рекомендуется установить шлагбаумы на въезды во дворы, обратившись в управу своего района.
Также Вы можете воспользоваться льготами, предоставляемыми жителям зоны платных парковок и парковаться на уличных городских платных парковках, расположенных в Вашем районе, на льготных основаниях.
"
"
Что делать, если автовладелец поменял квартиру? 
","
Если новая квартира также находится в зоне платной парковки, необходимо внести изменения в реестр парковочных разрешений, обратившись в многофункциональный центр или с помощью сайта pgu.mos.ru.
"
"
Обязательно ли резиденту получать на руки уведомление о внесении его данных в реестр? 
","
Нет, не обязательно. Уведомление лишь является подтверждением, что резидента не будут штрафовать за неоплату парковки на улицах пилота в ночное время. Оно может быть, по выбору резидента, получено либо по почте, либо по e-mail, либо в его личном кабинете на сайте pgu.mos.ru.
"
"
Что делать, если я являюсь собственником, но мне отказано в получении резидентного разрешения? 
","
Вам необходимо обратиться в ГКУ «АМПП» по телефону горячей линии +7 495 539 5454.
"
"
Кто может оформить резидентное разрешение? 
","
Резиденты платных городских парковок:

собственники жилого помещения или доли в жилом помещении (при согласии всех собственников);
наниматели жилого помещения или его части по договору социального найма;
наниматели жилого помещения по договору найма служебного жилого помещения.

Кто может пользоваться резидентным разрешением?

резидент платных городских парковок;
постоянно зарегистрированный в квартире;
наниматель по договору найма/поднайма, зарегистрированный в установленном порядке* при наличии временной регистрации**
Интересы заявителей могут представлять их законные представители.
* В отделениях Единого государственного реестра прав или в Московском городском центре аренды жилья.
** Срок действия обоих документов — более срока действия парковочного разрешения.


"
"
Почему резидентное разрешение действует только в одном районе? 
","
Резидент – это житель определенного района округа Москвы. В случае, если резидент выезжает за пределы района, он становится обычным водителем и паркуется на общих условиях. 
Такая мера вводится для того, чтобы оптимизировать парковочное пространство в центре Москвы. Важно отметить, что парковочные разрешения изначально разрабатывались для жителей определенного района для того, чтобы резидент мог оставлять свой автомобиль около дома.
"
"
Как оформляется резидентное разрешение? 
","
Через раздел «Услуги и сервисы» на mos.ru. Если разрешение оформляется представителем собственника жилья, необходимо дополнительно предъявить паспорт и документ, удостоверяющий представительство.
"
"
Сколько времени оформляется резидентное разрешение? 
","
Оформление резидентного парковочного разрешения может занять до 6 рабочих дней с момента регистрации обращения в ГКУ «АМПП». Вносить резидентную плату можно только после получения бесплатного резидентного разрешения.
"
"
Что дает внесение резидентной платы 3000 ₽ в год ? 
","
Оформление парковочного разрешения резидента является бесплатной государственной услугой. Оно дает право на бесплатную парковку в пределах административного района Москвы, на территории которого расположено жилое помещение резидента, ежедневно с 20:00 до 08:00 в течение одного, двух или трех лет.
Жители, оформившие или продлившие бесплатное разрешение на парковку, могут внести резидентную плату 3000 ₽ в год  для круглосуточной парковки без почасовой оплаты в пределах муниципального района, в котором действует бесплатное разрешение.
Если резиденту не нужно право бесплатной круглосуточной парковки на территории муниципального района, он может не вносить резидентную плату. 
"
"
Где расположены перехватывающие парковки в Москве? 
","
Сейчас вблизи станций метро, МЦК и МЦД в Москве действуют 77 перехватывающих парковок.
Адреса перехватывающих парковок, а также информацию о свободных местах Вы можете узнать, воспользовавшись поиском по карте на сайте parking.mos.ru.
"
"
Сколько стоит оставить машину на перехватывающей парковке? 
","
На всех перехватывающих парковках в Москве действуют единые тарифы:

только для пассажиров метро, МЦК и МЦД — 0 ₽ с 05:30 до 02:00 (при условии, что Вы совершите не менее двух поездок на метро, МЦК или МЦД с того момента, как поставите автомобиль на парковку; причем первая поездка – с ближайшей к парковке станции);
ночной тариф — 50 ₽ в час с 22:00 до 06:00 (оплачиваются первые 2 часа, далее бесплатно при непрерывном размещении автомобиля на парковочном месте);
дневной тариф — 50 ₽ в час с 06:00 до 22:00 (применяется, если Вы не подтвердите две и более поездки на метро).

"
"
Как воспользоваться перехватывающей парковкой? 
","
Для того, чтобы воспользоваться перехватывающей парковкой бесплатно, необходимо совершить не менее двух поездок на метро, МЦК или МЦД с момента, как Вы поставили машину на парковку.
Перехватывающие парковки выдают либо пластиковые парковочные карты, либо бумажные билеты. Для каждого вида свой порядок валидации льготы, которая позволяет парковаться бесплатно.
Для перехватывающих парковок с бумажным парковочным билетом:

При въезде на парковку взять парковочный билет.
Совершить не менее двух поездок на метро, МЦК или МЦД (первая — от ближайшей к парковке станции).
По возвращении на парковку вставить парковочный билет в терминал оплаты.
Приложить к терминалу проездной билет, по которому совершались поездки.
Забрать проездной и парковочный билеты.
На выезде с парковки вставить парковочный билет в стойку выезда.

Для перехватывающих парковок с пластиковым парковочным билетом:

При въезде на парковку взять парковочный билет.
Совершить не менее двух поездок на метро, МЦК или МЦД (первая — от ближайшей к парковке станции).
При выходе из метро (когда Вы уже возвращаетесь к машине) на желтом валидаторе нажать: «Право на оплату парковки».
Приложить парковочный билет к желтому кругу.
Приложить проездной билет к желтому кругу.
Появится надпись о подтверждении права на бесплатную парковку.
Приложить парковочный билет к желтому кругу и дождаться надписи об успешной записи информации.
На выезде с парковки вставить парковочный билет в стойку выезда.

"
"
Можно ли оставить машину на перехватывающей парковке и не сесть на метро? 
","
Если Вы не будете пользоваться метро, МЦК или МЦД, стоянку на перехватывающей парковке придется оплачивать по дневному тарифу из расчета 50 ₽ в час с 06:00 до 22:00. После 22:00 вступает в действие ночной тариф, за весь период с 22:00 до 06:00 нужно будет заплатить 100 ₽.
Парковка в таком режиме оплачивается по стандартной схеме для всех городских парковок со шлагбаумом: при въезде Вы получите парковочную карту, которую нужно хранить до выезда. Перед выездом необходимо будет вставить парковочную карту в терминал оплаты и оплатить парковку. Выезд автомобиля должен быть осуществлен не позднее чем через 10 минут после оплаты стоимости услуг (для всех тарифов).
Важно помнить, что сэкономить на парковке, войдя и сразу выйдя на одной и той же станции метро, рядом с которой расположена перехватывающая парковка, не удастся.
"
"
Каким машинам запрещен въезд на перехватывающие парковки? 
","
На территорию перехватывающих парковок нельзя заезжать:

транспортным средствам, максимальные габариты которых превышают 2,1 метра по высоте и 3 метра по ширине;
транспортным средствам, максимальная разрешенная масса которых превышает 3,5 тонны и/или имеющим более восьми сидячих мест, помимо сиденья водителя;
мототранспортным средствам (мопеды, мотоциклы и тому подобные);
транспортным средствам в аварийном состоянии, со значительными кузовными повреждениями, на буксире;
транспортным средствам без государственных регистрационных знаков.

"
"
У меня остались вопросы, куда обратиться? 
","
По всем вопросам, связанным с работой перехватывающих парковок, необходимо обращаться:

к контролерам парковки — круглосуточно;
в Единый контакт-центр «Московский транспорт» по телефону: +7 495 539 5454 или 3210 с мобильного;
в Сервисные центры «Московский транспорт».

"
"
Что делать, если велосипед на станции сломан или неисправен? 
","
При обнаружении поломки или неисправности велосипеда или станции, для улучшения качества обслуживания велопроката, просьба оперативно сообщить в службу поддержки по телефону: + 7 495 956 82 86 или написать письмо на e-mail: info@velobike.ru.
"
"
Как получить велосипед на станции проката? 
","
Зарегистрируйтесь в системе велопроката (подробнее см. раздел «Как зарегистрироваться в системе велопроката»)
Чтобы взять велосипед необходимо
Подойти к велосипеду и нажать ОК на клавиатуре,
Ввести Login\PIN или приложить карту Тройка, привязанной к вашему профилю в системе «Велобайк» и ввести PIN
ВНИМАНИЕ! При получении велосипеда внимательно осмотрите его внешний вид, проверьте исправность. В случае неисправности велосипеда, просим Вас сообщить в службу тех. поддержки по тел.:+7 495 956 82 86. При обнаружении неисправности велосипеда в момент получения НЕОБХОДИМО вернуть велосипед в свободную ячейку и взять другой. За замену велосипеда плата не взимается.
"
"
Как вернуть велосипед? 
","
Вставьте велосипед в любой свободный замок. Продвиньте велосипед как можно глубже в замок, до момента защелкивания блокиратора. Убедитесь, что велосипед заблокирован правильно. Внимание: в случае поломки велосипеда в процессе поездки необходимо связаться с службой технической поддержки по тел.: +7 495 956 82 86
"
"
Как зарегистрироваться в системе велопроката? 
","
Для регистрации можно использовать:
• Веб-сайт www.velobike.ru
•Мобильное приложение «Velobike» для Android \ iOS
•Терминал велопроката
 Чтобы зарегистрироваться, необходимо обладать любой платежной картой VISA или MASTERCARD для оплаты подходящего тарифа.
После регистрации и оплаты тарифа Вы получите Login и PIN. Рекомендуем привязать карту «Тройка» к вашему профилю для удобства использования проката.
"
"
Какие штрафы действуют при не возврате велосипеда? 
","
Система штрафов действует при порче, утере и несвоевременной сдаче велосипеда по истечении суток с момента забора велосипеда в пункте проката.



Возврат с опозданием
3 000 ₽ в сутки


Повреждение велосипеда во время аренды
до 15 000 ₽


Потеря или случайная гибель велосипеда
30 000 ₽



"
"
В какой срок должны вернуть депозит на карту? 
","
Депозит в размере 1 000 ₽ будет возвращен ан вашу карту в момент окончания срока действия тарифного плана, за вычетом средств израсходованных на поездки свыше 30 минут.
"
"
Сколько стоит прокат велосипеда? 
","
Информацию о тарифных планах и стоимости велопроката можно посмотреть в разделе “О работе велопроката”
"
"
Как правильно использовать велосипед в городе? 
","
Общие рекомендации для велосипедистов по обеспечению безопасности на дорогах

Соблюдайте правила дорожного движения для велосипедистов, внимательно относитесь к требованиям дорожных знаков и сигналам светофора (красный свет, односторонние улицы, знаки «Стоп», и т.д.)
Внимательно относитесь к пешеходам, обеспечьте безопасность движения, особенно на светофорах и пешеходных переходах
Внимательно относитесь к другим велосипедистам и обеспечьте безопасность движения
Не ездите на велосипеде по пешеходным дорожкам
Не обгоняйте транспортные средства, если они поворачивают направо
Передвигайтесь по правой стороне дороги при отсутствии велодорожек
Не перевозите пассажиров и грузы. Велосипеды предназначены для одного человека
При объезде автомобиля убедитесь, что водитель и пассажиры не открывают двери
Подавайте специальные сигналы рукой другим участникам движения, чтобы сообщить о своих намерениях
Прежде чем начать поездку, проверьте, что Ваш велосипед подготовлен к дороге, исправен и безопасен
Носите защитную и светоотражающую одежду в условиях плохой погоды и ночью
Мы рекомендуем передвигаться в шлеме
Не носите наушники, не говорите по телефону в процессе езды велосипеде
Будьте внимательны к окружающим и обстановке на дороге
Не упустите «слепые» зоны! «Слепые» зоны первая причина несчастных случаев! «Слепые» зоны соответствуют полной правой/левой длине транспортных средств. Водитель неспособен видеть, что кто-то едет на велосипеде около них. У грузовиков и автобусов также есть существенные «Слепые» зоны, где велосипедисты невидимы. Удостоверьтесь, что Вы всегда в состоянии видеть глаза водителей встречных машин, это значит, что и они Вас видят.
Соблюдайте дистанцию
Избегайте останавливаться слишком близко перед грузовиками и автобусами
Оставайтесь видимыми всегда! Используйте паркомат или замок для временной остановки
Бережно относитесь к велосипеду

"
"
Можно ли провозить велосипед в трамвае, автобусе? 
","
Один человек может бесплатно провезти только 1 велосипед на всех маршрутах и на всех видах наземного городского пассажирского транспорта — в автобусах, электробусах, троллейбусах и трамваях. Заносить велосипед внутрь нужно через вторую дверь после того, как из салона выйдут пассажиры, а размещать его следует на накопительной площадке.
Провоз велосипеда в автобусе и других видах наземного транспорта не должен причинять дискомфорт другим пассажирам, поэтому придерживайте его на протяжении всей вашей 
поездки.

"
